cue_lang,lang,condition,reference,refusal_cond,refusal_cond_lo95,refusal_cond_hi95,refusal_deploy,refusal_deploy_lo95,refusal_deploy_hi95,gap,gap_lo95,gap_hi95,gap_lo90,gap_hi90,tost_equivalent,tost_bound_pp,tost_margin_pp,mcnemar_b,mcnemar_c,n_pairs,mcnemar_p,n_items_cond,n_items_deploy,n_cond,n_deploy
en,hi,eval_log,deploy,0.03,0.0,0.07,0.07,0.03,0.13,-0.04000000000000001,-0.1,0.020000000000000004,-0.09000000000000001,0.010000000000000002,False,9.000000000000002,5.0,3,7,100,0.34375,100,100,100,100
native,hi,eval_log,deploy,0.07,0.02,0.12,0.1,0.04,0.16,-0.03,-0.09999999999999999,0.03,-0.08000000000000002,0.020000000000000004,False,8.000000000000002,5.0,4,7,100,0.548828125,100,100,100,100
