contrast,lang,layer,auroc,n_pos,n_neg
eval_framing,ta,13,1.0,100,100
eval_framing,ta,14,1.0,100,100
eval_framing,ta,15,1.0,100,100
eval_framing,ta,16,1.0,100,100
eval_framing,ta,17,1.0,100,100
eval_framing,ta,18,1.0,100,100
eval_framing,ta,19,1.0,100,100
eval_framing,ta,20,1.0,100,100
eval_framing,ta,21,1.0,100,100
eval_framing,ta,22,0.9995,100,100
eval_framing,ta,23,1.0,100,100
eval_framing,ta,24,0.9995,100,100
eval_framing,ta,25,0.999,100,100
eval_framing,ta,26,0.9964999999999999,100,100
eval_framing,ta,27,0.998,100,100
eval_framing,ta,28,0.9984999999999999,100,100
eval_framing,ta,29,0.9974999999999999,100,100
eval_framing,ta,30,0.999,100,100
eval_framing,ta,31,0.9964999999999999,100,100
eval_framing,ta,32,0.9984999999999999,100,100
eval_framing,ta,33,0.9974999999999999,100,100
eval_framing,ta,34,0.999,100,100
eval_framing,ta,35,0.9995,100,100
eval_framing,ta,36,0.9995,100,100
eval_framing,ta,37,0.9995,100,100
eval_framing,ta,38,0.9995,100,100
eval_framing,ta,39,0.9995,100,100
eval_framing,te,0,0.9645000000000001,100,100
eval_framing,te,1,0.9879999999999999,100,100
eval_framing,te,2,0.9960000000000001,100,100
eval_framing,te,3,1.0,100,100
eval_framing,te,4,1.0,100,100
eval_framing,te,5,0.999,100,100
eval_framing,te,6,1.0,100,100
eval_framing,te,7,1.0,100,100
eval_framing,te,8,1.0,100,100
eval_framing,te,9,1.0,100,100
eval_framing,te,10,1.0,100,100
eval_framing,te,11,1.0,100,100
eval_framing,te,12,1.0,100,100
eval_framing,te,13,1.0,100,100
eval_framing,te,14,1.0,100,100
eval_framing,te,15,1.0,100,100
eval_framing,te,16,1.0,100,100
eval_framing,te,17,1.0,100,100
eval_framing,te,18,1.0,100,100
eval_framing,te,19,1.0,100,100
eval_framing,te,20,1.0,100,100
eval_framing,te,21,0.9995,100,100
eval_framing,te,22,0.9995,100,100
eval_framing,te,23,0.9974999999999999,100,100
eval_framing,te,24,0.9995,100,100
eval_framing,te,25,0.999,100,100
eval_framing,te,26,0.999,100,100
eval_framing,te,27,0.998,100,100
eval_framing,te,28,0.9970000000000001,100,100
eval_framing,te,29,0.9959999999999999,100,100
eval_framing,te,30,0.9955,100,100
eval_framing,te,31,0.9945,100,100
eval_framing,te,32,0.9964999999999999,100,100
eval_framing,te,33,0.9959999999999999,100,100
eval_framing,te,34,0.993,100,100
eval_framing,te,35,0.9925,100,100
eval_framing,te,36,0.993,100,100
eval_framing,te,37,0.9940000000000001,100,100
eval_framing,te,38,0.9934999999999998,100,100
eval_framing,te,39,0.9960000000000001,100,100
eval_framing,or,0,0.7300000000000001,100,100
eval_framing,or,1,0.961,100,100
eval_framing,or,2,0.9775,100,100
eval_framing,or,3,0.9955,100,100
eval_framing,or,4,0.999,100,100
eval_framing,or,5,1.0,100,100
eval_framing,or,6,1.0,100,100
eval_framing,or,7,1.0,100,100
eval_framing,or,8,1.0,100,100
eval_framing,or,9,1.0,100,100
eval_framing,or,10,1.0,100,100
eval_framing,or,11,1.0,100,100
eval_framing,or,12,1.0,100,100
eval_framing,or,13,1.0,100,100
eval_framing,or,14,1.0,100,100
eval_framing,or,15,1.0,100,100
eval_framing,or,16,1.0,100,100
eval_framing,or,17,1.0,100,100
eval_framing,or,18,1.0,100,100
eval_framing,or,19,1.0,100,100
eval_framing,or,20,1.0,100,100
eval_framing,or,21,1.0,100,100
eval_framing,or,22,1.0,100,100
eval_framing,or,23,1.0,100,100
eval_framing,or,24,0.9995,100,100
eval_framing,or,25,0.9995,100,100
eval_framing,or,26,1.0,100,100
eval_framing,or,27,1.0,100,100
eval_framing,or,28,0.9994999999999999,100,100
eval_framing,or,29,0.9994999999999999,100,100
eval_framing,or,30,0.9984999999999999,100,100
eval_framing,or,31,0.9984999999999999,100,100
eval_framing,or,32,0.9984999999999999,100,100
eval_framing,or,33,0.9984999999999999,100,100
eval_framing,or,34,0.998,100,100
eval_framing,or,35,0.9974999999999999,100,100
eval_framing,or,36,0.9984999999999999,100,100
eval_framing,or,37,0.9984999999999999,100,100
eval_framing,or,38,0.9984999999999999,100,100
eval_framing,or,39,0.9984999999999999,100,100
cue_presence,en,0,0.9984999999999999,100,100
cue_presence,en,1,1.0,100,100
cue_presence,en,2,1.0,100,100
cue_presence,en,3,1.0,100,100
cue_presence,en,4,1.0,100,100
cue_presence,en,5,1.0,100,100
cue_presence,en,6,1.0,100,100
cue_presence,en,7,1.0,100,100
cue_presence,en,8,1.0,100,100
cue_presence,en,9,1.0,100,100
cue_presence,en,10,1.0,100,100
cue_presence,en,11,1.0,100,100
cue_presence,en,12,1.0,100,100
cue_presence,en,13,1.0,100,100
cue_presence,en,14,1.0,100,100
cue_presence,en,15,1.0,100,100
cue_presence,en,16,1.0,100,100
cue_presence,en,17,1.0,100,100
cue_presence,en,18,1.0,100,100
cue_presence,en,19,1.0,100,100
cue_presence,en,20,1.0,100,100
cue_presence,en,21,1.0,100,100
cue_presence,en,22,1.0,100,100
cue_presence,en,23,1.0,100,100
cue_presence,en,24,1.0,100,100
cue_presence,en,25,1.0,100,100
cue_presence,en,26,1.0,100,100
cue_presence,en,27,1.0,100,100
cue_presence,en,28,1.0,100,100
cue_presence,en,29,1.0,100,100
cue_presence,en,30,0.9995,100,100
