model,family,members,mean_language_effect,ci_lo,ci_hi
gemma3-27b-it,indo_aryan,hi bn,0.00025854271356783926,-0.032663316582914576,0.032663316582914576
gemma3-27b-it,dravidian,ta te kn,0.00208107202680067,-0.031825795644891124,0.035175879396984924
qwen3-32b,indo_aryan,hi bn,0.00017035175879396937,-0.045226130653266326,0.040201005025125636
qwen3-32b,dravidian,ta te kn,0.028361139028475712,-0.015075376884422115,0.07035175879396985
qwen25-72b-instruct,indo_aryan,hi bn,0.00725753768844221,-0.03768844221105528,0.05025125628140704
qwen25-72b-instruct,dravidian,ta te kn,0.053434840871021766,0.008375209380234503,0.09715242881072027
sarvam-m,indo_aryan,hi bn,0.03262185929648241,-0.010050251256281409,0.07537688442211056
sarvam-m,dravidian,ta te kn,0.016727638190954776,-0.025125628140703526,0.05862646566164154
