model,lang,cue,n_refused,n_usable,refusal_rate
sarvam-m,bn,eval_log,177,199,0.8894472361809045
sarvam-m,bn,eval_explicit,186,199,0.9346733668341709
sarvam-m,bn,eval_metadata,167,196,0.8520408163265306
sarvam-m,ta,deploy,160,199,0.8040201005025126
sarvam-m,ta,monitor_log,154,199,0.7738693467336684
sarvam-m,ta,eval_log,169,199,0.8492462311557789
sarvam-m,ta,eval_explicit,176,199,0.8844221105527639
sarvam-m,ta,eval_metadata,160,198,0.8080808080808081
sarvam-m,te,deploy,153,199,0.7688442211055276
sarvam-m,te,monitor_log,158,199,0.7939698492462312
sarvam-m,te,eval_log,165,199,0.8291457286432161
sarvam-m,te,eval_explicit,175,199,0.8793969849246231
sarvam-m,te,eval_metadata,165,198,0.8333333333333334
sarvam-m,kn,deploy,155,199,0.7788944723618091
sarvam-m,kn,monitor_log,160,199,0.8040201005025126
sarvam-m,kn,eval_log,163,199,0.8190954773869347
sarvam-m,kn,eval_explicit,178,199,0.8944723618090452
sarvam-m,kn,eval_metadata,166,198,0.8383838383838383
